apt_name_dp,apt_IATA_dp,apt_time_dt_dp,apt_time_tm_dp,Country_dp,City_dp,apt_name_ds,apt_IATA_ds,apt_time_dt_ds,apt_time_tm_ds,City_ds,Country_ds,trip_class,price,ticket_sold_by,travel_type
Vancouver International Airport,YVR,2026-02-07,18:35:00,Canada,Vancouver,Auckland Airport,AKL,2026-02-09,05:30:00,Auckland,New Zealand,Economy,1871,[],One way
Vancouver International Airport,YVR,2026-02-07,23:45:00,Canada,Vancouver,Auckland Airport,AKL,2026-02-09,11:00:00,Auckland,New Zealand,Economy,1864,[],One way
Vancouver International Airport,YVR,2026-02-14,18:35:00,Canada,Vancouver,Auckland Airport,AKL,2026-02-16,05:30:00,Auckland,New Zealand,Economy,1767,[],One way
Vancouver International Airport,YVR,2026-02-14,23:45:00,Canada,Vancouver,Auckland Airport,AKL,2026-02-16,11:00:00,Auckland,New Zealand,Economy,1655,[],One way
John F. Kennedy International Airport,JFK,2025-11-29,17:00:00,USA,New York,Dublin Airport,DUB,2025-11-30,04:20:00,Dublin,Ireland,Economy,692,"['American', 'Iberia']",One way
John F. Kennedy International Airport,JFK,2025-11-29,17:15:00,USA,New York,Auckland Airport,AKL,2025-12-01,04:55:00,Auckland,New Zealand,Economy,1644,['American'],One way
John F. Kennedy International Airport,JFK,2025-11-29,19:20:00,USA,New York,Auckland Airport,AKL,2025-12-01,07:30:00,Auckland,New Zealand,Economy,1864,['United'],One way
John F. Kennedy International Airport,JFK,2025-11-29,21:10:00,USA,New York,Dublin Airport,DUB,2025-11-30,08:40:00,Dublin,Ireland,Economy,692,"['American', 'Iberia']",One way
John F. Kennedy International Airport,JFK,2025-11-29,21:20:00,USA,New York,Dublin Airport,DUB,2025-11-30,08:45:00,Dublin,Ireland,Economy,455,['KLM'],One way
John F. Kennedy International Airport,JFK,2025-12-06,17:00:00,USA,New York,Dublin Airport,DUB,2025-12-07,04:20:00,Dublin,Ireland,Economy,659,"['American', 'Iberia']",One way
John F. Kennedy International Airport,JFK,2025-12-06,17:15:00,USA,New York,Auckland Airport,AKL,2025-12-08,04:55:00,Auckland,New Zealand,Economy,1914,['American'],One way
John F. Kennedy International Airport,JFK,2025-12-06,19:20:00,USA,New York,Auckland Airport,AKL,2025-12-08,07:30:00,Auckland,New Zealand,Economy,2135,['United'],One way
John F. Kennedy International Airport,JFK,2025-12-06,21:10:00,USA,New York,Dublin Airport,DUB,2025-12-07,08:40:00,Dublin,Ireland,Economy,659,"['American', 'Iberia']",One way
